For nLines = 100000 processing time was 1.03284692764
         2060528 function calls (2060440 primitive calls) in 1.122 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
       66    0.000    0.000    0.000    0.000 sre_compile.py:101(fixup)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
       30    0.000    0.000    0.000    0.000 numerictypes.py:450(_add_array_type)
      142    0.000    0.000    0.000    0.000 {_sre.getlower}
       85    0.000    0.000    0.000    0.000 sre_parse.py:137(__len__)
       21    0.000    0.000    0.000    0.000 numerictypes.py:219(_evalname)
        1    0.000    0.000    0.000    0.000 numerictypes.py:787(_construct_lookups)
        4    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:303(prep_simple)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
        8    0.000    0.000    0.000    0.000 collections.py:363(<genexpr>)
       11    0.000    0.000    0.000    0.000 sre_parse.py:189(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:345(_add_integer_aliases)
        6    0.000    0.000    0.000    0.000 core.py:1046(__init__)
        2    0.000    0.000    0.000    0.000 utils.py:152(deprecate)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
       72    0.000    0.000    0.000    0.000 numerictypes.py:130(english_lower)
      124    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 nanfunctions.py:20(<module>)
        8    0.000    0.000    0.000    0.000 collections.py:361(<genexpr>)
        1    0.000    0.000    0.000    0.000 <string>:7(Hermite)
        1    0.000    0.000    0.000    0.000 linalg.py:76(_determine_error_states)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
       21    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty}
        1    0.000    0.000    0.000    0.000 case.py:133(TestCase)
        1    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
       45    0.000    0.000    0.000    0.000 {repr}
       40    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
       76    0.000    0.000    0.000    0.000 {min}
       11    0.000    0.000    0.000    0.000 {_sre.compile}
        1    0.000    0.000    0.000    0.000 <string>:7(Laguerre)
       43    0.000    0.000    0.000    0.000 _inspect.py:163(<lambda>)
       49    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       11    0.000    0.000    0.000    0.000 sre_parse.py:268(_escape)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
       22    0.000    0.000    0.000    0.000 sre_compile.py:546(isstring)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:435(_construct_char_code_lookup)
        1    0.000    0.000    0.000    0.000 <string>:1(Mismatch)
        1    0.000    0.000    0.000    0.000 defchararray.py:1668(chararray)
        2    0.000    0.000    0.000    0.000 utils.py:108(__call__)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
